user_id,name,level,tracked,priority,updated_at
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fast Builder V,6,false,false,2025-11-08 23:59:34.222692+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fast Exploration 1,5,false,false,2025-11-07 21:37:58.241291+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fast Exploration 2,3,false,false,2025-11-07 21:39:41.034828+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fast Exploration 3,0,false,false,2025-11-07 21:49:53.563083+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fast Exploration 4,1,false,false,2025-11-07 21:51:18.233488+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fatal Strike 1,5,false,false,2025-11-07 21:37:58.241291+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fatal Strike 2,0,false,false,2025-11-07 21:39:41.034828+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fatal Strike 3,0,false,false,2025-11-07 21:49:53.563083+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fatal Strike 4,0,false,false,2025-11-07 21:51:18.233488+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fatal Strike I,0,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault 1,5,false,false,2025-11-07 21:37:58.241291+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault 2,2,false,false,2025-11-07 21:39:41.034828+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault 3,0,false,false,2025-11-07 21:49:53.563083+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault 4,0,false,false,2025-11-07 21:51:18.233488+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault I,10,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault II,3,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Fierce Assault III,0,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand 1,5,false,false,2025-11-07 21:37:58.241291+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand 2,1,false,false,2025-11-07 21:39:41.034828+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand 3,0,false,false,2025-11-07 21:49:53.563083+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand 4,0,false,false,2025-11-07 21:51:18.233488+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand I,10,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand II,3,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Final Stand III,0,false,false,2025-11-08 00:25:09.157446+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Firepower Boost,2,false,false,2025-11-07 21:03:28.53873+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Focused Training I,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Focused Training II,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Focused Training III,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Focused Training IV,4,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Focused Training V,3,false,false,2025-11-08 23:59:34.222692+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Food Output I,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Food Output II,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Food Output III,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Food Output IV,2,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Food Output V,2,false,false,2025-11-08 23:59:34.222692+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Food Protection,1,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Formation Training 1,5,false,false,2025-11-07 21:32:49.730764+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Formation Training 2,5,false,false,2025-11-07 21:39:41.034828+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Formation Training 3,0,false,false,2025-11-07 21:49:53.563083+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Formation Training 4,1,false,false,2025-11-07 21:51:18.233488+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Coins I,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Coins II,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Coins III,2,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Coins IV,1,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Food I,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Food II,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Food III,3,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Food IV,1,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Iron I,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Iron II,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Iron III,3,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Gathering Iron IV,1,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Healing Cost II,1,false,false,2025-11-08 23:59:34.222692+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line 1,5,false,false,2025-11-07 21:37:58.241291+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line 2,0,false,false,2025-11-07 21:39:41.034828+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line 3,0,false,false,2025-11-07 21:49:53.563083+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line 4,0,false,false,2025-11-07 21:51:18.233488+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line I,1,false,false,2025-11-08 00:26:18.978026+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line II,0,false,false,2025-11-08 00:26:18.978026+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Hold the Line III,0,false,false,2025-11-08 00:26:18.978026+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,HP Boost I,10,false,false,2025-11-08 00:12:53.797939+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,HP Boost II,10,false,false,2025-11-08 00:12:53.797939+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,HP Boost III,10,false,false,2025-11-08 00:12:53.797939+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Building,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Duel Master 2,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Enemy Kills,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Intercity Trade,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Radar,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Recruitment,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Research,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Secret Mobile Squad,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Speed-up,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Survivor Recruit,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Incentive - Training,10,false,false,2025-11-07 21:57:01.13257+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Infirmary Expansion I,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Infirmary Expansion II,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Infirmary Expansion III,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Infirmary Expansion IV,5,false,false,2025-11-11 21:32:27.756233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Infirmary Expansion V,2,false,false,2025-11-08 23:59:34.222692+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Iron Output I,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Iron Output II,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Iron Output III,5,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Iron Output IV,3,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Iron Output V,1,false,false,2025-11-08 23:59:34.222692+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Iron Protection,1,false,false,2025-11-11 21:43:49.385233+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Limit Break: Chip Skill Boost,0,false,false,2025-11-11 21:24:13.074722+00
1e4ed8c4-a092-4600-9f7e-a29bfc72c8b5,Limit Break: Level Cap,0,false,false,2025-11-11 21:24:13.074722+00
